repo,skill_name,agents
affaan-m/everything-claude-code,ai-regression-testing,
affaan-m/everything-claude-code,coding-standards,
affaan-m/everything-claude-code,compose-multiplatform-patterns,
affaan-m/everything-claude-code,configure-ecc,
affaan-m/everything-claude-code,continuous-learning-v2,
affaan-m/everything-claude-code,e2e-testing,
affaan-m/everything-claude-code,eval-harness,
affaan-m/everything-claude-code,iterative-retrieval,
affaan-m/everything-claude-code,mcp-server-patterns,
affaan-m/everything-claude-code,plankton-code-quality,
affaan-m/everything-claude-code,strategic-compact,
affaan-m/everything-claude-code,tdd-workflow,
affaan-m/everything-claude-code,verification-loop,
anthropics/skills,algorithmic-art,
anthropics/skills,docx,
anthropics/skills,pdf,
anthropics/skills,pptx,
anthropics/skills,skill-creator,
anthropics/skills,xlsx,
brianlovin/claude-config,simplify,
cloudflare/security-audit-skill,security-audit,
davila7/claude-code-templates,markitdown,
github/awesome-copilot,documentation-writer,
github/awesome-copilot,git-commit,
microsoft/playwright-cli,playwright-cli,
obra/superpowers,receiving-code-review,
obra/superpowers,requesting-code-review,
remotion-dev/skills,remotion-best-practices,
shadcn/improve,improve,
softaworks/agent-toolkit,lesson-learned,
vercel-labs/agent-browser,agent-browser,
vercel-labs/skills,find-skills,
